;Temperatura;;Pressão;;Volume;
{ temperatura:;0;, pressao:;0;, volume:;1,71;},
{ temperatura:;0,5;, pressao:;0;, volume:;1,68;},
{ temperatura:;1,1;, pressao:;0;, volume:;1,64;},
{ temperatura:;1,6;, pressao:;0;, volume:;1,61;},
{ temperatura:;2,2;, pressao:;0;, volume:;1,57;},
{ temperatura:;2,7;, pressao:;0;, volume:;1,54;},
{ temperatura:;3,3;, pressao:;0;, volume:;1,51;},
{ temperatura:;3,8;, pressao:;0;, volume:;1,47;},
{ temperatura:;4,4;, pressao:;0;, volume:;1,45;},
{ temperatura:;5;, pressao:;0;, volume:;1,42;},
{ temperatura:;5,5;, pressao:;0;, volume:;1,4;},
{ temperatura:;6,1;, pressao:;0;, volume:;1,37;},
{ temperatura:;6,6;, pressao:;0;, volume:;1,35;},
{ temperatura:;7,2;, pressao:;0;, volume:;1,32;},
{ temperatura:;7,7;, pressao:;0;, volume:;1,29;},
{ temperatura:;8,3;, pressao:;0;, volume:;1,26;},
{ temperatura:;8,8;, pressao:;0;, volume:;1,24;},
{ temperatura:;9,4;, pressao:;0;, volume:;1,21;},
{ temperatura:;10;, pressao:;0;, volume:;1,19;},
{ temperatura:;10,5;, pressao:;0;, volume:;1,17;},
{ temperatura:;11,1;, pressao:;0;, volume:;1,15;},
{ temperatura:;11,6;, pressao:;0;, volume:;1,13;},
{ temperatura:;12,2;, pressao:;0;, volume:;1,11;},
{ temperatura:;12,7;, pressao:;0;, volume:;1,1;},
{ temperatura:;13,3;, pressao:;0;, volume:;1,08;},
{ temperatura:;13,8;, pressao:;0;, volume:;1,06;},
{ temperatura:;14,4;, pressao:;0;, volume:;1,04;},
{ temperatura:;15;, pressao:;0;, volume:;1,02;},
{ temperatura:;15,5;, pressao:;0;, volume:;1;},
{ temperatura:;16,1;, pressao:;0;, volume:;0,98;},
{ temperatura:;16,6;, pressao:;0;, volume:;0,97;},
{ temperatura:;17,2;, pressao:;0;, volume:;0,95;},
{ temperatura:;17,7;, pressao:;0;, volume:;0,93;},
{ temperatura:;18,3;, pressao:;0;, volume:;0,92;},
{ temperatura:;18,8;, pressao:;0;, volume:;0,9;},
{ temperatura:;19,4;, pressao:;0;, volume:;0,89;},
{ temperatura:;20;, pressao:;0;, volume:;0,88;},
{ temperatura:;20,5;, pressao:;0;, volume:;0,86;},
{ temperatura:;21,1;, pressao:;0;, volume:;0,85;},
{ temperatura:;21,6;, pressao:;0;, volume:;0,84;},
{ temperatura:;22,2;, pressao:;0;, volume:;0,83;},
{ temperatura:;22,7;, pressao:;0;, volume:;0,81;},
{ temperatura:;23,3;, pressao:;0;, volume:;0,79;},
{ temperatura:;23,8;, pressao:;0;, volume:;0,78;},
{ temperatura:;24,4;, pressao:;0;, volume:;0,77;},
{ temperatura:;25;, pressao:;0;, volume:;0,76;},
{ temperatura:;25,5;, pressao:;0;, volume:;0,75;},
{ temperatura:;26,1;, pressao:;0;, volume:;0,74;},
{ temperatura:;26,6;, pressao:;0;, volume:;0,73;},
{ temperatura:;27,2;, pressao:;0;, volume:;0,72;},
{ temperatura:;27,7;, pressao:;0;, volume:;0,71;},
{ temperatura:;28,3;, pressao:;0;, volume:;0,7;},
{ temperatura:;28,8;, pressao:;0;, volume:;0,69;},
{ temperatura:;29,4;, pressao:;0;, volume:;0,68;},
{ temperatura:;30;, pressao:;0;, volume:;0,67;},
{ temperatura:;30,8;, pressao:;0;, volume:;0,66;},
{ temperatura:;31,1;, pressao:;0;, volume:;0,65;},
{ temperatura:;31,6;, pressao:;0;, volume:;0,64;},
{ temperatura:;32,2;, pressao:;0;, volume:;0,63;},
{ temperatura:;0;, pressao:;2;, volume:;1,9;},
{ temperatura:;0,5;, pressao:;2;, volume:;1,9;},
{ temperatura:;1,1;, pressao:;2;, volume:;1,9;},
{ temperatura:;1,6;, pressao:;2;, volume:;1,8;},
{ temperatura:;2,2;, pressao:;2;, volume:;1,8;},
{ temperatura:;2,7;, pressao:;2;, volume:;1,7;},
{ temperatura:;3,3;, pressao:;2;, volume:;1,7;},
{ temperatura:;3,8;, pressao:;2;, volume:;1,7;},
{ temperatura:;4,4;, pressao:;2;, volume:;1,6;},
{ temperatura:;5;, pressao:;2;, volume:;1,6;},
{ temperatura:;5,5;, pressao:;2;, volume:;1,6;},
{ temperatura:;6,1;, pressao:;2;, volume:;1,6;},
{ temperatura:;6,6;, pressao:;2;, volume:;1,5;},
{ temperatura:;7,2;, pressao:;2;, volume:;1,5;},
{ temperatura:;7,7;, pressao:;2;, volume:;1,5;},
{ temperatura:;8,3;, pressao:;2;, volume:;1,4;},
{ temperatura:;8,8;, pressao:;2;, volume:;1,4;},
{ temperatura:;9,4;, pressao:;2;, volume:;1,4;},
{ temperatura:;10;, pressao:;2;, volume:;1,4;},
{ temperatura:;10,5;, pressao:;2;, volume:;1,3;},
{ temperatura:;11,1;, pressao:;2;, volume:;1,3;},
{ temperatura:;11,6;, pressao:;2;, volume:;1,3;},
